35,130,10,3,2.63,645.54,16.58,1665.73,1004.98,1090.99,20,23%,37%,18%,6%,93%,ProfiPlus,3400%,1,5,4.810909091
35,130,20,3,2.63,683.63,16.58,1665.73,1027.95,1090.99,20,23%,37%,17%,6%,93%,ProfiPlus,3400%,1,5,9.621818182
35,130,30,3,2.63,721.74,16.58,1665.73,1050.92,1090.99,20,23%,37%,17%,6%,93%,ProfiPlus,3400%,1,5,14.43272727
35,130,40,3,30.63,828.60,40.33,1665.73,1073.89,1090.99,20,23%,38%,17%,15%,93%,ProfiPlus,2500%,1,5,19.24363636
35,130,50,3,37.63,950.55,46.28,1665.73,1096.86,1090.99,21,23%,38%,17%,18%,93%,ProfiPlus,2300%,1,5,24.05454545
35,130,60,3,44.64,1072.48,52.23,1665.73,1119.84,1090.99,23,25%,39%,17%,20%,93%,ProfiPlus,2200%,1,5,28.86545455
35,110,0,7.25,19.64,713.28,41.51,1864.99,1191.85,1270.64,21,67%,42%,21%,16%,97%,ProfiPlus,1100%,1,10,0
35,110,10,7.25,19.64,802.31,41.51,1864.99,1251.74,1270.64,21,70%,43%,21%,16%,97%,ProfiPlus,1100%,1,10,4.810909091
35,110,20,7.25,19.64,1007.16,41.51,1864.99,1311.66,1270.64,21,76%,45%,20%,16%,97%,ProfiPlus,1100%,1,10,9.621818182
35,110,30,7.25,19.64,1291.98,41.51,1864.99,1371.60,1270.64,21,85%,46%,20%,16%,97%,ProfiPlus,1100%,1,10,14.43272727
35,110,40,7.25,6.83,1583.33,104.33,1857.95,1428.59,1266.68,27,80%,45%,33%,41%,97%,ProfiPlusXT,900%,1,10,19.24363636
35,110,50,7.25,13.23,1869.40,120.46,1857.95,1603.53,1266.68,29,93%,50%,38%,48%,97%,ProfiPlusXT,900%,1,10,24.05454545
35,110,60,7,21.22,2083.54,130.94,1792.36,1730.31,1221.71,31,99%,54%,41%,52%,94%,ProfiPlusXT,900%,1,10,28.86545455
35,115,0,6.75,17.09,713.54,38.29,1900.04,1201.90,1291.70,21,63%,43%,21%,15%,100%,ProfiPlus,1300%,1,10,0
