15,90,40,7.5,464.07,2566.86,4.36,1421.95,1878.6,534.07,21,0.96,0.51,0.2,0.07,0.9,ProfiPlusXT,17,0,5
15,90,60,6.5,400.9,3035.51,4.56,1228.55,2213.37,461,18,0.98,0.59,0.24,0.05,0.78,ProfiPlusXT,22,0,5
15,110,0,5.25,509.14,1188.3,1.15,1502.99,857.83,554.72,23,0.45,0.34,0.07,0.01,0.97,ProfiPlus,28,0,5
15,110,20,5.25,509.14,1393.14,1.48,1502.99,1006.71,554.72,23,0.48,0.35,0.09,0.02,0.97,ProfiPlus,28,0,5
15,110,40,5.25,509.14,1973.98,2.12,1502.99,1432.94,554.72,22,0.68,0.42,0.15,0.02,0.97,ProfiPlus,28,0,5
15,110,60,5.25,509.14,2628.55,3.57,1502.99,1909.85,554.72,22,0.91,0.54,0.2,0.02,0.97,ProfiPlus,28,0,5
15,130,0,3.75,519.28,1143.14,1.07,1489.65,812.54,538.15,23,0.31,0.35,0.07,0,0.98,ProfiPlus,70,0,5
15,130,20,3.75,519.28,1289.2,1.28,1489.65,916.73,538.15,23,0.31,0.35,0.08,0,0.98,ProfiPlus,70,0,5
15,130,40,3.75,519.28,1556.81,1.51,1489.65,1110.34,538.15,23,0.36,0.35,0.11,0.01,0.98,ProfiPlus,70,0,5
15,130,60,3.75,514.21,2007.69,1.86,1469.96,1424.33,532.81,22,0.34,0.38,0.15,0.01,0.98,ProfiPlusXT,69,0,5
15,110,0,8.5,486.73,1283.06,1.32,1507.68,935.69,566.91,22,0.78,0.33,0.08,0.07,0.95,ProfiPlus,12,0,10
15,110,20,8.5,486.43,1810.82,3.18,1503.16,1328.34,566.11,21,0.77,0.38,0.14,0.09,0.95,ProfiPlusXT,12,0,10
15,110,40,7.5,428.2,2533.64,4.37,1323.67,1854.44,498.34,19,0.95,0.5,0.2,0.07,0.84,ProfiPlusXT,17,0,10
15,110,60,6.5,369.85,3006.78,4.57,1143.58,2192.48,431.72,16,0.97,0.58,0.24,0.05,0.73,ProfiPlusXT,22,0,10
15,115,0,7.75,491.59,1260.72,1.28,1506.68,918.1,564.69,22,0.71,0.34,0.08,0.05,0.95,ProfiPlus,17,0,10
15,115,20,7.75,491.59,1696.42,2.64,1506.68,1244.5,564.69,21,0.9,0.39,0.13,0.07,0.95,ProfiPlus,17,0,10
15,115,40,7.5,475.13,2577.09,4.36,1452.24,1886.04,545.08,21,0.97,0.51,0.2,0.07,0.92,ProfiPlusXT,17,0,10
15,115,60,6.5,410.47,3044.36,4.56,1254.73,2219.81,470.5,18,0.98,0.59,0.24,0.05,0.8,ProfiPlusXT,22,0,10
15,140,0,5,491.07,1144.05,1.07,1447.59,824.7,533.44,21,0.42,0.33,0.07,0.01,0.93,ProfiPlus,41,0,10
15,140,20,5,491.07,1339.14,1.36,1447.59,966.2,533.44,21,0.44,0.34,0.09,0.01,0.93,ProfiPlus,41,0,10
15,140,40,5,491.07,1886.43,1.93,1447.59,1366.77,533.44,21,0.62,0.4,0.14,0.02,0.93,ProfiPlus,41,0,10
15,140,60,5,491.07,2509.93,3.24,1447.59,1819.98,533.44,21,0.82,0.52,0.19,0.02,0.93,ProfiPlus,41,0,10
15,160,0,3.75,489.45,1087.63,0.96,1408.67,773.25,509.43,21,0.3,0.33,0.07,0,0.92,ProfiPlus,71,0,10
15,160,20,3.75,489.45,1233.71,1.16,1408.67,877.43,509.43,21,0.3,0.33,0.08,0,0.92,ProfiPlus,71,0,10
15,160,40,3.75,489.45,1529.08,1.39,1408.67,1090.66,509.43,20,0.36,0.34,0.11,0.01,0.92,ProfiPlus,71,0,10
15,160,60,3.75,489.45,1996.14,2.07,1408.67,1424.22,509.43,20,0.47,0.41,0.15,0.01,0.92,ProfiPlus,71,0,10
